autor,datos_completos,docs_columna,estado,extraido_en,fecha,id,pdf_disponible,pdf_url,titulo,tramite
"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales","['2024-08-02', 'Proyecto de Ley Orgánica Reformatoria de la Ley de Educación Superior para regular el patrimonio y requisitos de creación de las instituciones de Educación Superior\n(Cod. AN-2024-3008 / 453765)', 'RECALDE ALAVA ECKENNER READER\n(ASAMBLEISTA / ASAMBLEA NACIONAL)', 'Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"RECALDE ALAVA ECKENNER READER
(ASAMBLEISTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:22.305002,2024-08-02,proyecto_1,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/3e0746a3-8cc1-42e7-953c-524b2fbfa534/453765-recalde.pdf,"Proyecto de Ley Orgánica Reformatoria de la Ley de Educación Superior para regular el patrimonio y requisitos de creación de las instituciones de Educación Superior
(Cod. AN-2024-3008 / 453765)","En trámite
(Revisión en Comisión para Primer Debate)"
No Asignada,"['2024-08-02', 'Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Carrera Sanitaria\n(Cod. AN-2024-3009 / 453797)', 'HERRERA GOMEZ ANA CECILIA\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'No Asignada', 'No Calificado\n(Archivado)', 'Ver Documentos', '']",Ver Documentos,"HERRERA GOMEZ ANA CECILIA
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:28.629306,2024-08-02,proyecto_2,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b715df52-9c08-441e-be0e-8b8a7849c429/453797-herrera.pdf,"Proyecto de Ley Orgánica Reformatoria a la Ley Orgánica de Carrera Sanitaria
(Cod. AN-2024-3009 / 453797)","No Calificado
(Archivado)"
No Asignada,"['2024-08-02', 'Proyecto de Ley Orgánica Reformatoria a la Ley de Defensa del Trabajador Autónomo y del Comerciante Minorista\n(Cod. AN-2024-3010 / 453810)', 'SAMANIEGO MAIGUA FRANKLIN OMAR\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'No Asignada', 'No Calificado\n(Archivado)', 'Ver Documentos', '']",Ver Documentos,"SAMANIEGO MAIGUA FRANKLIN OMAR
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:34.857179,2024-08-02,proyecto_3,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/232282cb-b660-4ea5-8782-b65a3f513351/453810-samaniego.pdf,"Proyecto de Ley Orgánica Reformatoria a la Ley de Defensa del Trabajador Autónomo y del Comerciante Minorista
(Cod. AN-2024-3010 / 453810)","No Calificado
(Archivado)"
No Asignada,"['2024-08-01', 'Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Servicio Exterior\n(Cod. AN-2024-3001 / 453679)', 'CRUZ ZAMBRANO CARLA MAGALY\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'No Asignada', 'En trámite\n(Revisión en el Consejo de Administración Legislativa)', 'Ver Documentos', '']",Ver Documentos,"CRUZ ZAMBRANO CARLA MAGALY
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:41.106084,2024-08-01,proyecto_4,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/82154e77-f4a3-4f25-80b5-f11a6721869d/pp%20-%20proyecto%20de%20ley%20453679-cruz.pdf,"Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Servicio Exterior
(Cod. AN-2024-3001 / 453679)","En trámite
(Revisión en el Consejo de Administración Legislativa)"
"Comisión de Transparencia, Participación Ciudadana y Control Social","['2024-08-01', 'Proyecto de Ley Reformatoria a la Ley Orgánica del Concejo de Participación Ciudadana y Control Social\n(Cod. AN-2024-3006 / 453713)', 'SAMANIEGO MAIGUA FRANKLIN OMAR\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'Comisión de Transparencia, Participación Ciudadana y Control Social', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"SAMANIEGO MAIGUA FRANKLIN OMAR
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:47.347632,2024-08-01,proyecto_5,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/37692d77-fd73-4ae6-9602-774d49bebe46/453713-samaniego.pdf,"Proyecto de Ley Reformatoria a la Ley Orgánica del Concejo de Participación Ciudadana y Control Social
(Cod. AN-2024-3006 / 453713)","En trámite
(Revisión en Comisión para Primer Debate)"
"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales","['2024-08-01', 'Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Educación Intercultural para un mejor acceso a la educación en la provincia de Galápagos y las zonas de difícil acceso\n(Cod. AN-2024-3007 / 453714)', 'AGUAS FLORES MILTON JAVIER\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"AGUAS FLORES MILTON JAVIER
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:51:53.805205,2024-08-01,proyecto_6,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ac0184ff-feb2-4341-b327-7f3243c0d7f7/453714-aguas.pdf,"Proyecto de Ley Orgánica Reformatoria de la Ley Orgánica de Educación Intercultural para un mejor acceso a la educación en la provincia de Galápagos y las zonas de difícil acceso
(Cod. AN-2024-3007 / 453714)","En trámite
(Revisión en Comisión para Primer Debate)"
Comisión del Derecho al Trabajo y a la Seguridad Social,"['2024-08-01', 'Proyecto de Ley de Ejercicio Profesional del Trabajo Social\n(Cod. AN-2024-3003 / 453684)', 'CORRAL ALAVA RAISA IRINA\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'Comisión del Derecho al Trabajo y a la Seguridad Social', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"CORRAL ALAVA RAISA IRINA
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:52:00.112719,2024-08-01,proyecto_7,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/ea8a76f9-ec58-4356-918d-040a5648ef64/pp%20-%20proyecto%20de%20ley%20453684-corral.pdf,"Proyecto de Ley de Ejercicio Profesional del Trabajo Social
(Cod. AN-2024-3003 / 453684)","En trámite
(Revisión en Comisión para Primer Debate)"
Comisión de Justicia y Estructura del Estado,"['2024-08-01', 'Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal\n(Cod. AN-2024-3002 / 453680)', 'POSSO NARANJO LUCIA ANABELLE\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'Comisión de Justicia y Estructura del Estado', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"POSSO NARANJO LUCIA ANABELLE
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:52:06.364647,2024-08-01,proyecto_8,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/b20c33de-b8f5-4fbb-9e06-343e69e4709a/pp%20-%20proyecto%20de%20ley%20453680-posso.pdf,"Proyecto de Ley Orgánica Reformatoria al Código Orgánico Integral Penal
(Cod. AN-2024-3002 / 453680)","En trámite
(Revisión en Comisión para Primer Debate)"
No Asignada,"['2024-08-01', 'Proyecto de Ley Reformatoria a la Ley de Minería para garantizar la redistribución de recursos provenientes de patentes de conservación para concesión minera entre los Gobiernos Autónomos Descentralizados Parroquiales Rurales\n(Cod. AN-2024-3005 / 453707)', 'VALLADAREZ GONZALEZ HECTOR GUILLERMO, CORDOVA COMPS PASCACIO Y RIVADENEIRA ANDREA\n(ASAMBLEÍSTAS / ASAMBLEA NACIONAL)', 'No Asignada', 'No Calificado\n(Archivado)', 'Ver Documentos', '']",Ver Documentos,"VALLADAREZ GONZALEZ HECTOR GUILLERMO, CORDOVA COMPS PASCACIO Y RIVADENEIRA ANDREA
(ASAMBLEÍSTAS / ASAMBLEA NACIONAL)",2025-07-18T09:52:12.602108,2024-08-01,proyecto_9,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/d03394db-7c7e-4bd3-b3ee-0e8ad4f3c489/453707-valladarez.pdf,"Proyecto de Ley Reformatoria a la Ley de Minería para garantizar la redistribución de recursos provenientes de patentes de conservación para concesión minera entre los Gobiernos Autónomos Descentralizados Parroquiales Rurales
(Cod. AN-2024-3005 / 453707)","No Calificado
(Archivado)"
Comisión de Justicia y Estructura del Estado,"['2024-08-01', 'Proyecto de Ley Reformatoria al Código Orgánico Integral Penal para regular la proporcionalidad de la sanción de las contravenciones de tránsito\n(Cod. AN-2024-3004 / 453696)', 'PARRA VILLACIS JONATHAN EMANUEL\n(ASAMBLEÍSTA / ASAMBLEA NACIONAL)', 'Comisión de Justicia y Estructura del Estado', 'En trámite\n(Revisión en Comisión para Primer Debate)', 'Ver Documentos', '']",Ver Documentos,"PARRA VILLACIS JONATHAN EMANUEL
(ASAMBLEÍSTA / ASAMBLEA NACIONAL)",2025-07-18T09:52:18.851118,2024-08-01,proyecto_10,True,https://ppless.asambleanacional.gob.ec/alfresco/d/d/workspace/SpacesStore/f42ee0ae-d188-428d-ae14-cff667ce3aec/PP-PRO~1.PDF,"Proyecto de Ley Reformatoria al Código Orgánico Integral Penal para regular la proporcionalidad de la sanción de las contravenciones de tránsito
(Cod. AN-2024-3004 / 453696)","En trámite
(Revisión en Comisión para Primer Debate)"
